question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	2	2	C	15	Nineveh	130	History	Continental or Near Eastern History (pre-600 CE)		Queen's	Dennis	10	130	1.0	bounceback		
2018-01-20	Toronto	2	2	C	19	counting	132	RMPSS	Social Science		Queen's	Jack	10	132	1.0	bounceback		
2018-01-20	Toronto	2	2	C	20	Saint Jerome	135	Arts	Painting/Sculpture		Queen's	Jack	-5	127	0.941			
2018-01-20	Toronto	2	2	C	2	Thales of Miletus	152	RMPSS	Philosophy		Toronto A	Zhenglin Liu	-5	133	0.875			
2018-01-20	Toronto	2	2	C	3	E. T. A. Hoffmann	142	Literature	Short Fiction		Toronto A	Raymond Chen	10	114	0.803			
2018-01-20	Toronto	2	2	C	4	houses	138	Arts	Other Art	Architecture	Toronto A	Zhenglin Liu	10	82	0.594			
2018-01-20	Toronto	2	2	C	5	radial	143	Science	Physics		Toronto A	Zhenglin Liu	-5	133	0.93			
2018-01-20	Toronto	2	2	C	8	specific heat capacity	135	Science	Chemistry		Toronto A	Zhenglin Liu	10	89	0.659			
2018-01-20	Toronto	2	2	C	11	Sukarno	131	History	Other History		Toronto A	Paul Kasinski	10	66	0.504			
2018-01-20	Toronto	2	2	C	12	Finland	140	Arts	Music		Toronto A	Zhenglin Liu	10	126	0.9			
2018-01-20	Toronto	2	2	C	13	bacterial conjugation	138	Science	Biology		Toronto A	Raymond Chen	-5	50	0.362			
2018-01-20	Toronto	2	2	C	14	the she-wolf	137	RMPSS	Mythology		Toronto A	Zhenglin Liu	10	70	0.511			
2018-01-20	Toronto	2	2	C	15	Nineveh	130	History	Continental or Near Eastern History (pre-600 CE)		Toronto A	Ben Hillier-Weltman	-5	76	0.585			
2018-01-20	Toronto	2	2	C	16	“Tintern Abbey”	163	Literature	Non-Epic Poetry		Toronto A	Raymond Chen	10	141	0.865			
2018-01-20	Toronto	2	2	C	17	Ceres	139	Science	Other Science	Astronomy	Toronto A	Paul Kasinski	10	119	0.856			
2018-01-20	Toronto	2	2	C	18	Billy Budd	138	Literature	Long Fiction		Toronto A	Zhenglin Liu	10	112	0.812			
2018-01-20	Toronto	2	2	C	19	counting	132	RMPSS	Social Science		Toronto A	Paul Kasinski	-5	91	0.689			
